,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G,Classe
1170,Acre,1566,Sim,Não,Sim,Sim,média
1171,Acre,1100,Sim,Não,Sim,Sim,média_baixa
1172,Acre,2450,Sim,Não,Sim,Sim,média
1175,Acre,916,Sim,Não,Sim,Sim,média_baixa
1176,Acre,1400,Sim,Não,Sim,Sim,média_baixa
1177,Acre,2800,Sim,Não,Sim,Sim,média
1179,Acre,1000,Sim,Não,Sim,Não,média_baixa
1181,Acre,633,Sim,Sim,Sim,Não,média_baixa
1206,Acre,1525,Sim,Sim,Sim,Sim,média
1209,Acre,600,Sim,Sim,Sim,Sim,média_baixa
1217,Acre,2000,Sim,Sim,Não,Sim,média
1219,Acre,1400,Sim,Sim,Sim,Não,média_baixa
1223,Acre,890,Sim,Não,Sim,Sim,média_baixa
1224,Acre,390,Sim,Sim,Sim,Sim,baixa
1229,Acre,400,Sim,Não,Sim,Sim,baixa
1230,Acre,973,Sim,Sim,Sim,Não,média_baixa
1235,Acre,850,Sim,Sim,Sim,Não,média_baixa
1236,Acre,1966,Sim,Sim,Sim,Sim,média
1237,Acre,1300,Sim,Sim,Sim,Sim,média_baixa
1238,Acre,1600,Sim,Sim,Sim,Sim,média
1241,Acre,1500,Sim,Não,Sim,Sim,média_baixa
1242,Acre,2000,Sim,Sim,Sim,Sim,média
1243,Acre,920,Sim,Sim,Sim,Sim,média_baixa
1244,Acre,1000,Sim,Sim,Não,Sim,média_baixa
1248,Acre,3750,Sim,Sim,Não,Não,alta
1250,Acre,2500,Sim,Não,Sim,Sim,média
1254,Acre,2196,Sim,Sim,Sim,Não,média
1256,Acre,282,Sim,Sim,Sim,Sim,baixa
1260,Acre,542,Sim,Sim,Sim,Não,média_baixa
1261,Acre,2125,Sim,Sim,Sim,Sim,média
1262,Acre,700,Sim,Não,Sim,Sim,média_baixa
1264,Acre,22000,Sim,Sim,Não,Não,alta
1266,Acre,400,Sim,Sim,Não,Não,baixa
1267,Acre,3500,Sim,Sim,Não,Não,alta
1269,Acre,3000,Sim,Sim,Não,Não,média
1272,Acre,2000,Sim,Sim,Não,Não,média
1274,Acre,1000,Sim,Sim,Não,Não,média_baixa
1276,Acre,800,Sim,Sim,Não,Sim,média_baixa
1277,Acre,1230,Sim,Sim,Sim,Sim,média_baixa
1278,Acre,131,Sim,Sim,Sim,Sim,baixa
1282,Acre,4000,Sim,Não,Sim,Sim,alta
1283,Acre,290,Sim,Não,Não,Sim,baixa
1286,Acre,131,Sim,Não,Sim,Sim,baixa
1287,Acre,1540,Sim,Sim,Sim,Sim,média
1288,Acre,266,Sim,Sim,Sim,Sim,baixa
1289,Acre,497,Sim,Não,Sim,Sim,baixa
1290,Acre,838,Sim,Não,Sim,Sim,média_baixa
1292,Acre,586,Sim,Sim,Sim,Sim,média_baixa
1293,Acre,1050,Sim,Não,Sim,Sim,média_baixa
1294,Acre,500,Sim,Sim,Sim,Sim,baixa
1299,Acre,716,Sim,Sim,Sim,Sim,média_baixa
1301,Acre,300,Sim,Sim,Sim,Sim,baixa
1303,Acre,1000,Sim,Sim,Sim,Sim,média_baixa
