,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G
94091,São Paulo,1033,Sim,Não,Não,Não
94094,São Paulo,1600,Sim,Não,Não,Não
94096,São Paulo,549,Sim,Sim,Não,Não
94098,São Paulo,333,Sim,Sim,Não,Não
94099,São Paulo,601,Sim,Sim,Não,Não
94105,São Paulo,844,Sim,Não,Não,Não
94106,São Paulo,2000,Sim,Não,Não,Não
94109,São Paulo,583,Sim,Não,Não,Não
94111,São Paulo,428,Sim,Não,Não,Sim
94112,São Paulo,500,Sim,Sim,Não,Não
94113,São Paulo,1000,Sim,Sim,Não,Não
94115,São Paulo,1000,Sim,Sim,Não,Não
94117,São Paulo,1300,Sim,Não,Não,Não
94123,São Paulo,1107,Sim,Não,Não,Sim
94125,São Paulo,1133,Sim,Sim,Não,Não
94126,São Paulo,375,Sim,Não,Não,Não
94127,São Paulo,200,Sim,Não,Não,Não
94128,São Paulo,3000,Sim,Não,Não,Não
94132,São Paulo,4000,Sim,Não,Não,Não
94133,São Paulo,600,Sim,Não,Não,Não
94134,São Paulo,6500,Sim,Não,Não,Sim
94135,São Paulo,1300,Sim,Não,Não,Sim
94136,São Paulo,8750,Sim,Não,Não,Não
94137,São Paulo,2000,Sim,Não,Não,Não
94138,São Paulo,4000,Sim,Não,Não,Não
94141,São Paulo,1894,Sim,Não,Não,Sim
94143,São Paulo,2644,Sim,Não,Não,Sim
94144,São Paulo,7900,Sim,Não,Não,Não
94145,São Paulo,475,Sim,Não,Não,Sim
94147,São Paulo,450,Sim,Não,Não,Sim
94148,São Paulo,1633,Sim,Não,Não,Sim
94150,São Paulo,2500,Sim,Não,Não,Não
94152,São Paulo,530,Sim,Não,Não,Sim
94153,São Paulo,1278,Sim,Não,Não,Sim
94154,São Paulo,6733,Sim,Não,Não,Não
94156,São Paulo,1600,Sim,Não,Sim,Sim
94157,São Paulo,4533,Sim,Não,Não,Sim
94158,São Paulo,4400,Sim,Não,Não,Sim
94160,São Paulo,140,Sim,Sim,Não,Não
94162,São Paulo,340,Sim,Não,Não,Sim
94164,São Paulo,300,Sim,Não,Sim,Sim
94165,São Paulo,1825,Sim,Não,Não,Sim
94166,São Paulo,1300,Sim,Não,Não,Sim
94167,São Paulo,1596,Sim,Não,Não,Sim
94169,São Paulo,2233,Sim,Não,Não,Sim
94170,São Paulo,980,Sim,Sim,Não,Sim
94172,São Paulo,994,Sim,Não,Não,Sim
94173,São Paulo,3750,Sim,Não,Não,Sim
94174,São Paulo,833,Sim,Não,Não,Sim
94177,São Paulo,744,Sim,Não,Não,Não
94180,São Paulo,466,Sim,Não,Não,Sim
94181,São Paulo,464,Sim,Não,Não,Sim
94182,São Paulo,4100,Sim,Sim,Não,Não
94183,São Paulo,3750,Sim,Não,Não,Sim
94184,São Paulo,750,Sim,Sim,Não,Não
94187,São Paulo,440,Sim,Sim,Não,Não
94188,São Paulo,600,Sim,Não,Sim,Sim
94189,São Paulo,1529,Sim,Sim,Não,Sim
94190,São Paulo,1050,Sim,Não,Não,Sim
94192,São Paulo,750,Sim,Sim,Não,Sim
94194,São Paulo,816,Sim,Não,Não,Sim
94197,São Paulo,1666,Sim,Sim,Não,Sim
94199,São Paulo,5688,Sim,Não,Não,Sim
94204,São Paulo,1162,Sim,Sim,Não,Não
94205,São Paulo,800,Sim,Não,Não,Não
94208,São Paulo,675,Sim,Não,Não,Sim
94209,São Paulo,1325,Sim,Não,Não,Sim
